# Challenge,,
TOOLTIPbattle_challenge;With battle lines drawn, you may challenge the enemy army to send forth a champion to face you in a duel to determine the result of battle.;;;;;;;;;;;;;x,
TOOLTIPsiege_challenge;With your army entrenched for a long siege, you may challenge the opposing force to send a champion to face you in a duel to quickly settle this fight. However, they are unlikely to accept unless their champion is truly capable.;;;;;;;;;;;;;x
# Noble,,
TOOLTIPmake_noble;[Root.GetTitledFirstName] is granted a surname and becomes eligible for Imperial service.;;;;;;;;;;;;;,,
TOOLTIPmake_mark;[Root.GetTitledFirstName] is granted a marquisate. The lowest rank of nobility.;;;;;;;;;;;;;,,
TOOLTIPmake_duke;[Root.GetTitledFirstName] is granted a duchy. A mark of respected nobility.;;;;;;;;;;;;;,,
TOOLTIPmake_king;[Root.GetTitledFirstName] is granted a kingdom. A signature of high nobility.;;;;;;;;;;;;;,,
TOOLTIPmake_emp;[Root.GetTitledFirstName] is granted your empire. They have become so powerful that this is a foregone conclusion.;;;;;;;;;;;;;,,
# Adopt,,
TOOLTIPADOPTIONLOWBORN;[Root.GetFirstName] is lowborn\n;[Root.GetFirstName] est d'origine modeste\n;;;;;;;;;;;;x,,
# Suicide,,
TOOLTIPMINORDECISIONALLOWWEALTH;[Root.GetTitledFirstName] can afford the cost of the decision\n;[Root.GetTitledFirstName] peut payer le prix d'une telle décision\n;;;;;;;;;;;;x,,
# Limit Province,,
TOOLTIPlimit_old;Your recently inherited territories will be assigned to another.;;;;;;;;;;;;;x,,
TOOLTIPlimit_new;Your old territories will be assigned to another.;;;;;;;;;;;;;x,,
TOOLTIPlimit_man;A court minister arrives to take up the vacant post.;;;;;;;;;;;;;x,,
TOOLTIPlimit_ref;You refuse to hand over your new territories. This will brand you a traitor to the Empire.;;;;;;;;;;;;;x,,
TOOLTIPlimit_emp;A provincial administrator has passed away. The post has been assigned to an appropriate official to manage.;;;;;;;;;;;;;x,,
# Clan,,
TOOLTIPform_clan;Your cash will be used to fund and equip a decent army loyal solely to you.;;;;;;;;;;;;;,,
# Wako,,
TOOLTIPally_wako;Ally yourself with the Wako.;;;;;;;;;;;;;,,
TOOLTIPform_wako;Your cash will be used to fund and equip a Wako pirate army to loot and pillage the mainland.;;;;;;;;;;;;;,,
# Conversion
TOOLTIPmass_conversion;Your vassals will decide whether to obey your demand or not.;;;;;;;;;;;;;x,,
# Tom and Jerry,,
TOOLTIPtom_jerry;The best way to make enemies friends is to give them someone to hate together... Me.;;;;;;;;;;;;;x,,
# Petition
TOOLTIPpetition1;You will hear a petition.;;;;;;;;;;;;;x,,
TOOLTIPpetition2;Your regent will hear a petition.;;;;;;;;;;;;;x,,
# Aid Request
TOOLTIPaidrequest_a;Your people will be grateful for your support.\n;;;;;;;;;;;;;x,,
TOOLTIPaidrequest_b;You don't have the funds. Your people will have to manage without your aid.\n;;;;;;;;;;;;;x,,
TOOLTIPaidrequest_c;Your people will hear your response. Your refusal could incite open revolt.\n;;;;;;;;;;;;;x,,
# Buddhist
buddhist_courtier_tooltip;A Buddhist courtier appears at your court.;;;;;;;;;;;;;x,,
