land_reform;Successful land reform;;;;;;;;;;;;;;x
local_famine;Famine;;;;;;;;;;;;;;x
sacrifice_ancestor;Sacrificed to Ancestors;;;;;;;;;;;;;;x
expelled_buddhist;Expelled Buddhists;;;;;;;;;;;;;;x
buddhist_settlement_province;Buddhist Settlement;;;;;;;;;;;;;;x
borrowed_from_buddhist;Borrowed from Buddhists;;;;;;;;;;;;;;x
natural_disaster;Natural Disaster;;;;;;;;;;;;;;x
clan_patriarch;Clan Patriarch;;;;;;;;;;;;;;x
clan_voter;Clan Elder;;;;;;;;;;;;;;x
petition_1;1 Petition;;;;;;;;;;;;;;x
petition_2;2 Petitions;;;;;;;;;;;;;;x
petition_3;3 Petitions;;;;;;;;;;;;;;x
petition_4;4 Petitions;;;;;;;;;;;;;;x
petition_5;5 Petitions;;;;;;;;;;;;;;x
petition_6;6 Petitions;;;;;;;;;;;;;;x
petition_7;7 Petitions;;;;;;;;;;;;;;x
petition_8;8 Petitions;;;;;;;;;;;;;;x
petition_9;9 Petitions;;;;;;;;;;;;;;x
petition_10;10 Petitions;;;;;;;;;;;;;;x
petition_11;11 Petitions;;;;;;;;;;;;;;x
petition_12;12 Petitions;;;;;;;;;;;;;;x
petition_13;13 Petitions;;;;;;;;;;;;;;x
petition_14;14 Petitions;;;;;;;;;;;;;;x
petition_15;15 Petitions;;;;;;;;;;;;;;x
petition_16;16 Petitions;;;;;;;;;;;;;;x
petition_17;17 Petitions;;;;;;;;;;;;;;x
petition_18;18 Petitions;;;;;;;;;;;;;;x
petition_19;19 Petitions;;;;;;;;;;;;;;x
petition_20;20 Petitions;;;;;;;;;;;;;;x
petition_21;21 Petitions;;;;;;;;;;;;;;x
petition_22;22 Petitions;;;;;;;;;;;;;;x
petition_23;23 Petitions;;;;;;;;;;;;;;x
petition_24;24 Petitions;;;;;;;;;;;;;;x
petition_25;25 Petitions;;;;;;;;;;;;;;x
