# Coalition
world_central_asia;Central Asia;;;;;;;;;;;;;x
world_china;China;;;;;;;;;;;;;x
world_china_bing;Bing;;;;;;;;;;;;;x
world_china_ji;Ji;;;;;;;;;;;;;x
world_china_jiaozhi;Jiaozhi;;;;;;;;;;;;;x
world_china_jing;Jing;;;;;;;;;;;;;x
world_china_liang;Liang;;;;;;;;;;;;;x
world_china_qing;Qing;;;;;;;;;;;;;x
world_china_sili;Sili;;;;;;;;;;;;;x
world_china_xu;Xu;;;;;;;;;;;;;x
world_china_yan;Yan;;;;;;;;;;;;;x
world_china_yang;Yang;;;;;;;;;;;;;x
world_china_yi;Yi;;;;;;;;;;;;;x
world_china_you;You;;;;;;;;;;;;;x
world_china_yu;Yu;;;;;;;;;;;;;x
world_korea;Korea;;;;;;;;;;;;;x
world_manchu;Manchu;;;;;;;;;;;;;x
world_mongol;Mongol;;;;;;;;;;;;;x
world_tibet;Tibet;;;;;;;;;;;;;x
ANY_ALL;Marching;;;;;;;;;;;;;x
