PROV1;Henan;Henan;Henan;;;;;;;;;x
PROV2;Fanshui;Fanshui;Fanshui;;;;;;;;;x
PROV3;Hulao;Hulao;Hulao;;;;;;;;;x
PROV4;Qiguan;Qiguan;Qiguan;;;;;;;;;x
PROV5;Shenchi;Shenchi;Shenchi;;;;;;;;;x
PROV6;Yongning;Yongning;Yongning;;;;;;;;;x
PROV7;Hongnong;Hongnong;Hongnong;;;;;;;;;x
PROV8;Hanguguan;Hanguguan;Hanguguan;;;;;;;;;x
PROV9;Lushi;Lushi;Lushi;;;;;;;;;x
PROV10;Anyi;Anyi;Anyi;;;;;;;;;x
PROV11;Dongyuan;Dongyuan;Dongyuan;;;;;;;;;x
PROV12;Pishi;Pishi;Pishi;;;;;;;;;x
PROV13;Wenxi;Wenxi;Wenxi;;;;;;;;;x
PROV14;Yang;Yang;Yang;;;;;;;;;x
PROV15;Huai;Huai;Huai;;;;;;;;;x
PROV16;Chaoge;Chaoge;Chaoge;;;;;;;;;x
PROV17;Liyang;Liyang;Liyang;;;;;;;;;x
PROV18;Shanyangyi;Shanyangyi;Shanyangyi;;;;;;;;;x
PROV19;Yanjing;Yanjing;Yanjing;;;;;;;;;x
PROV20;Changan;Changan;Changan;;;;;;;;;x
PROV21;Baling;Baling;Baling;;;;;;;;;x
PROV22;Duling;Duling;Duling;;;;;;;;;x
PROV23;Lantian;Lantian;Lantian;;;;;;;;;x
PROV24;Xinping;Xinping;Xinping;;;;;;;;;x
PROV25;Youfufeng;Youfufeng;Youfufeng;;;;;;;;;x
PROV26;Chencang;Chencang;Chencang;;;;;;;;;x
PROV27;Wuzhang;Wuzhang;Wuzhang;;;;;;;;;x
PROV28;Zuopingyi;Zuopingyi;Zuopingyi;;;;;;;;;x
PROV29;Wannian;Wannian;Wannian;;;;;;;;;x
PROV30;Jinyang;Jinyang;Jinyang;;;;;;;;;x
PROV31;Jiexu;Jiexu;Jiexu;;;;;;;;;x
PROV32;Yangyi;Yangyi;Yangyi;;;;;;;;;x
PROV33;Zhongdu;Zhongdu;Zhongdu;;;;;;;;;x
PROV34;Dingxiang;Dingxiang;Dingxiang;;;;;;;;;x
PROV35;Tongguo;Tongguo;Tongguo;;;;;;;;;x
PROV36;Zhongling;Zhongling;Zhongling;;;;;;;;;x
PROV37;Shang;Shang;Shang;;;;;;;;;x
PROV38;Fushi;Fushi;Fushi;;;;;;;;;x
PROV39;Zhenlin;Zhenlin;Zhenlin;;;;;;;;;x
PROV40;Shangdang;Shangdang;Shangdang;;;;;;;;;x
PROV41;Gaodou;Gaodou;Gaodou;;;;;;;;;x
PROV42;Zhan;Zhan;Zhan;;;;;;;;;x
PROV43;Shuofang;Shuofang;Shuofang;;;;;;;;;x
PROV44;Dacheng;Dacheng;Dacheng;;;;;;;;;x
PROV45;Sanfeng;Sanfeng;Sanfeng;;;;;;;;;x
PROV46;Wuyuan;Wuyuan;Wuyuan;;;;;;;;;x
PROV47;Jiuyuan;Jiuyuan;Jiuyuan;;;;;;;;;x
PROV48;Xianyang;Xianyang;Xianyang;;;;;;;;;x
PROV49;Xihe;Xihe;Xihe;;;;;;;;;x
PROV50;Gaolang;Gaolang;Gaolang;;;;;;;;;x
PROV51;Meiji;Meiji;Meiji;;;;;;;;;x
PROV52;Pingcheng;Pingcheng;Pingcheng;;;;;;;;;x
PROV53;Guangwu;Guangwu;Guangwu;;;;;;;;;x
PROV54;Mayi;Mayi;Mayi;;;;;;;;;x
PROV55;Yunzhong;Yunzhong;Yunzhong;;;;;;;;;x
PROV56;Dingxiangyun;Dingxiangyun;Dingxiangyun;;;;;;;;;x
PROV57;Shaling;Shaling;Shaling;;;;;;;;;x
PROV58;Anping;Anping;Anping;;;;;;;;;x
PROV59;Fucheng;Fucheng;Fucheng;;;;;;;;;x
PROV60;Nangong;Nangong;Nangong;;;;;;;;;x
PROV61;Tangyang;Tangyang;Tangyang;;;;;;;;;x
PROV62;Wusui;Wusui;Wusui;;;;;;;;;x
PROV63;Xindou;Xindou;Xindou;;;;;;;;;x
PROV64;Qinghe;Qinghe;Qinghe;;;;;;;;;x
PROV65;Beiqiu;Beiqiu;Beiqiu;;;;;;;;;x
PROV66;Dongwucheng;Dongwucheng;Dongwucheng;;;;;;;;;x
PROV67;Ganling;Ganling;Ganling;;;;;;;;;x
PROV68;Yimu;Yimu;Yimu;;;;;;;;;x
PROV69;Bohai;Bohai;Bohai;;;;;;;;;x
PROV70;Chonghe;Chonghe;Chonghe;;;;;;;;;x
PROV71;Fuyangsi;Fuyangsi;Fuyangsi;;;;;;;;;x
PROV72;Gaocheng;Gaocheng;Gaocheng;;;;;;;;;x
PROV73;Nanpi;Nanpi;Nanpi;;;;;;;;;x
PROV74;Yangxin;Yangxin;Yangxin;;;;;;;;;x
PROV75;Zhending;Zhending;Zhending;;;;;;;;;x
PROV76;Fangzi;Fangzi;Fangzi;;;;;;;;;x
PROV77;Jiumen;Jiumen;Jiumen;;;;;;;;;x
PROV78;Luancheng;Luancheng;Luancheng;;;;;;;;;x
PROV79;Puwu;Puwu;Puwu;;;;;;;;;x
PROV80;Yuanshi;Yuanshi;Yuanshi;;;;;;;;;x
PROV81;Hejian;Hejian;Hejian;;;;;;;;;x
PROV82;Gaoyang;Gaoyang;Gaoyang;;;;;;;;;x
