EVTDESCcombat_trait.1;You asked [Root.Guardian.GetTitledFirstName] to teach you how to fight better with a sword.;Vous demandez à [Root.Guardian.GetTitledFirstName] de vous apprendre à mieux vous battre avec une épée. ;;;Le has pedido a tu mentor que te enseñe como luchar con la espada;;;;;;;;;x,,,,,,
EVTOPTAcombat_trait.1;Stick 'em with the pointy end!;Frappez-les d’estoc. ;;;Ensártalos con la punta;;;;;;;;;x,,,,,,
#EVTDESC550101;You asked [Root.Guardian.GetTitledFirstName] to teach you how to fight even better with a sword.;Vous demandez à [Root.Guardian.GetTitledFirstName] de vous apprendre à mieux vous battre avec une épée. ;;;Le has pedido a tu mentor que te enseño a luchar mucho mejor con la espada;;;;;;;;;x,,,,,,
#EVTDESC550103;You want [Root.Guardian.GetTitledFirstName] to help you TRULY master the art of swordmanship!;Vous voulez que [Root.Guardian.GetTitledFirstName]vous aide à vraiment maîtriser l'art du combat à l'épée ! ;;;Quieres que tu mentor te enseñe a ser un auténtico maestro con la espada;;;;;;;;;x,,,,,,
EVTDESCcombat_trait.2;Under my guidance, my young [GetFromRelation], [From.GetFirstName], is slowly mastering the art of swordsmanship.;Grâce à mes conseils, mon jeune [GetFromRelation], [From.GetFirstName], commence lentement à maîtriser l'art du combat à l'épée.;;;He aumentado las habilidades de lucha de mi hijo durante el entrenamiento;;;;;;;;;x
EVTDESCcombat_trait.3;My [GetFromRelation] has not improved [From.GetHerHis] swordsmanship skills during [From.GetHerHis] training...;Les talents à l'épée de mon(a) [GetFromRelation] ne se sont pas améliorés malgré l'entraînement… ;;;Mi hijo ha sido herido durante el entrenamiento;;;;;;;;;x,,,,,,
EVT_OPT_combat_trait.3_ambitious;[From.GetSheHeCap] show lots of ambition despite this;Cependant [From.GetSheHe] montre beaucoup d'ambition.;;;;;;;;;;;;x,,,,,,
EVT_OPT_combat_trait.3_slothful;[From.GetSheHeCap] doesn't even seem to be trying;Et [From.GetSheHe] ne semble même pas essayer.;;;;;;;;;;;;x,,,,,,
EVT_OPT_combat_trait.3_brave;But [From.GetHerHis] bravery is clear;Mais [From.GetSheHe] est brave.;;;;;;;;;;;;x,,,,,,
EVT_OPT_combat_trait.3_ruthless;Yet, [From.GetSheHe] seems prepared and eager to improve;Mais [From.GetSheHe] semble prêt(e) à tout pour s'améliorer. ;;;;;;;;;;;;x,,,,,
EVT_OPT_combat_trait.3_intrigue;[From.GetSheHeCap] seems to be a cunning fighter though;[From.GetSheHeCap] semble être un combattant rusé.;;;;;;;;;;;;x,,,,,,
